# 全部,  0岁, 1-4岁, 5-9岁...
# 总计,男,女
1332810869 	682329104 	650481765
13786434 	7461199 	6325235
61746176 	33601367 	28144809
70881549 	38464665 	32416884
74908462 	40267277 	34641185
99889114 	51904830 	47984284
127412518 	64008573 	63403945
101013852 	50837038 	50176814
97138203 	49521822 	47616381
118025959 	60391104 	57634855
124753964 	63608678 	61145286
105594553 	53776418 	51818135
78753171 	40363234 	38389937
81312474 	41082938 	40229536
58667282 	29834426 	28832856
41113282 	20748471 	20364811
32972397 	16403453 	16568944
23852133 	11278859 	12573274
13373198 	5917502 	7455696
5631928 	2199810 	3432118
1578307 	530872 	1047435
369979 	117716 	252263
35934 	8852 	27082
